image,concentration,meanB,meanG,meanR,modeB,modeG,modeR,minB,minG,minR,maxB,maxG,maxR,stdB,stdG,stdR
batch3,0.75,0.3320707846701568,0.2492617506034786,0.020333478900395822,0.5902634051874236,0.5588946122095937,0.0,0.5996373612254652,0.23391991999562176,0.0,0.8309906516510978,0.8978412220776927,1.6906530896099103,0.08072050270987693,0.058615878622466915,0.016027690094075103
batch3,0.25,0.37225650278060674,0.41195513215214785,0.6104534460734535,0.42165967957573985,0.5503778007268889,0.7346778314802479,0.6548471760135504,0.5650502364374436,0.9121258311008211,0.7018987674881119,0.7840554782923398,1.3533781046778401,0.04829222394755814,0.06285569009549792,0.12897551333886587
batch3,0.5,0.3864052941600681,0.17034275919654526,0.16845562920718443,1.244089741048444,0.3512024716583097,0.0,0.7140314063129358,0.7093898397971938,0.0,3.4698300963190607,3.8020468400874776,6.330858983255567,0.18623203707787875,0.14846692938721082,0.0973916560618129
batch3,1.0,0.3963369681224408,0.15639027796387267,0.022513342566028226,0.644594148213621,0.42718104957229586,0.0,0.3632747191158537,0.38677265419434703,0.0,0.8227646080963977,0.7252407525535034,0.866678068614049,0.03639440285034393,0.060696016604348216,0.017829062065634615
batch1,0.75,0.5463295180122925,0.41855525946954114,0.02267095402061847,0.7181359248751871,0.2667923723385281,0.0,0.8493489640429998,0.6568001091925103,0.0,1.346680556652091,1.0639109111570406,2.455658150745722,0.1605881395616117,0.06625547502600133,0.023762682595361424
batch1,0.25,0.6220794184855692,0.43287552593462775,0.4583757378857456,0.7798853366631396,0.5127141744611967,0.4857575837301107,0.7170674192301969,0.5287000266851685,0.4208645160560559,0.9458865337319924,0.6138479851221006,0.6661199048180622,0.07594876728569362,0.06263909508701639,0.07983745778585004
batch1,0.5,0.7880478651346036,0.39815657602177706,0.18141598712181614,1.0309622865280728,0.44549674701172354,0.0,0.8930419808755583,0.6446390016116785,0.0,0.9118248702265759,0.6478543392509392,1.0959278497787652,0.17879362777591748,0.17041597607620462,0.08462531398564638
batch1,1.0,1.0476933992036108,0.49084137932171007,0.05759220032806864,1.199324507819362,0.4107520142114238,0.0,1.2955331926267692,0.9718258620375764,0.0,0.8320493372659288,0.8067286905389486,0.5626685320084066,0.1510085234454141,0.08426375056061555,0.051333692001850145
batch2,0.75,0.38821157723742905,0.38836251452835185,0.015800743532245056,0.41720586210029337,0.32978431570896144,0.0,0.8144727575378179,0.5888111368740382,0.0,0.6158654359503806,0.9815240574678196,1.9019005291265279,0.03018190468414266,0.05642989809090071,0.015790853227255704
batch2,0.25,0.8529577006388759,0.5315477311127099,0.5982316871794694,0.7840353777000856,0.557637482298375,0.7730161631954819,1.0234965125669142,0.49242247996277716,1.1627715106488432,1.1174248247508396,0.7750411990534382,1.0078383828260387,0.12793229727146685,0.07822738650527536,0.20630474637018673
batch2,0.5,0.7493880548798677,0.40131384891699473,0.2697972652529697,1.0733534410310686,0.6481930116735455,0.0,0.8626986094703607,0.821846026734351,0.0,1.8418563068840483,1.6846084252825073,1.6719172038227696,0.07082957474443556,0.06938923722456102,0.15234822374360613
batch2,1.0,0.6329933591088706,0.27628022335600233,0.020017869130499518,0.5257413995413756,0.3855455782327787,0.0,1.2235210501450882,0.4477806698523678,0.0,2.2780375316010955,2.5278416146076976,2.877288562943285,0.14206055431922487,0.11233769684459805,0.01931963588297539
