meanB,meanG,meanR,modeB,modeG,modeR,batch,concentration,image,predicted_concentration
90.25865085455179,78.58857476950756,96.63902204408815,89.98953610045344,78.92961547110413,99.19839679358716,batch1,2.5,2.5-4_batch1.csv,-8.661582386814587
83.86984509025733,82.8535587827213,73.08863530849113,84.49622327486878,81.58357228748497,75.74832009773976,batch2,2.0,2.0-1_batch2.csv,1.8161191305469515
85.9290895460225,82.04303773038696,78.37603781228898,84.96459808413161,83.37354048055583,79.00067521944632,batch3,8.0,8.0-5_batch3.csv,1.860980887916071
83.16199891833425,82.66228353658536,78.86755959963604,82.74743104380748,81.4596036585366,79.84531392174705,batch3,20.0,20.0-4_batch3.csv,7.360436759902143
87.3246883666618,86.33615916316272,81.56787665622741,86.70267114289884,85.83735001538304,80.9443507588533,batch2,20.0,20.0-4_batch2.csv,22.097913203172084
84.58067467362926,83.40204427767355,75.18305546218488,85.37859007832898,84.42776735459663,76.26050420168067,batch2,10.0,10.0-3_batch2.csv,6.906894465270739
92.94044989775051,83.78794353771505,98.3325,95.0920245398773,85.35509483899426,99.4318181818182,batch1,15.0,15.0-5_batch1.csv,13.978692317899004
84.57228187197418,85.13683410138249,77.01725874125876,84.72296933835396,85.54147465437788,77.36013986013987,batch3,25.0,25.0-5_batch3.csv,16.15852539656106
85.07737547622406,82.07012114602955,80.60751086696919,84.66205728799208,82.9780906116784,81.68139479340817,batch3,0.0,0-5_batch3.csv,3.7856099112574384
87.46863012117717,85.53662850182705,84.6277773279352,85.68955568378536,84.04384896467722,85.02024291497975,batch2,20.0,20.0-5_batch2.csv,18.74558395985173
87.77865120882227,88.96745438300408,84.72862688713157,88.22281917149724,89.34776134220192,84.11214953271029,batch2,40.0,40.0-5_batch2.csv,34.90185956068626
90.86495955369597,89.0360386172532,95.14826832720068,94.83960948396096,92.49454998442852,96.8015850551939,batch1,30.0,30.0-2_batch1.csv,36.1241617403619
92.46509878213803,85.60239396628216,100.21598973042363,93.36941813261164,86.84560780834073,102.05391527599488,batch1,20.0,20.0-2_batch1.csv,21.949635662826495
91.82182157031922,86.58584724847137,101.77507463651051,91.11302847282138,85.04724847137298,100.80775444264944,batch1,25.0,25.0-4_batch1.csv,31.076863582269823
82.74455249500997,82.48532981629769,77.37747774086377,83.03393213572853,83.08996702779085,77.74086378737542,batch3,20.0,20.0-3_batch3.csv,7.226961728757033
