B,G,R
86.87440982058546,79.01417389464775,92.12880143112702
85.93012275731822,78.06219589591706,91.23434704830053
85.93012275731822,78.06219589591706,91.23434704830053
85.93012275731822,78.06219589591706,91.23434704830053
85.93012275731822,78.06219589591706,91.23434704830053
86.87440982058546,79.01417389464775,92.12880143112702
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
87.8186968838527,80.91812989210915,91.23434704830053
88.76298394711992,81.87010789083985,92.12880143112702
90.65155807365439,83.77406388830124,93.91771019677996
90.65155807365439,83.77406388830124,93.91771019677996
91.59584513692162,84.72604188703194,94.81216457960643
89.70727101038716,82.82208588957054,93.02325581395348
88.76298394711992,81.87010789083985,92.12880143112702
87.8186968838527,80.91812989210915,91.23434704830053
86.87440982058546,79.96615189337845,90.33989266547405
85.93012275731822,79.01417389464775,89.44543828264759
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
85.93012275731822,79.01417389464775,89.44543828264759
86.87440982058546,79.96615189337845,90.33989266547405
87.8186968838527,80.91812989210915,91.23434704830053
87.8186968838527,80.91812989210915,91.23434704830053
87.8186968838527,80.91812989210915,91.23434704830053
87.8186968838527,80.91812989210915,91.23434704830053
86.87440982058546,79.96615189337845,90.33989266547405
87.8186968838527,80.91812989210915,91.23434704830053
87.8186968838527,80.91812989210915,91.23434704830053
86.87440982058546,79.96615189337845,90.33989266547405
86.87440982058546,79.96615189337845,90.33989266547405
85.93012275731822,79.01417389464775,89.44543828264759
86.87440982058546,79.96615189337845,90.33989266547405
87.8186968838527,80.91812989210915,91.23434704830053
88.76298394711992,81.87010789083985,92.12880143112702
88.76298394711992,81.87010789083985,92.12880143112702
