B,G,R
99,90,110
99,90,110
99,90,110
99,90,110
98,89,110
98,89,110
99,90,111
100,91,112
100,91,112
100,91,112
100,91,112
100,91,112
100,91,111
100,91,111
102,91,111
102,91,111
99,90,110
99,90,110
100,91,111
100,91,111
100,91,111
99,90,110
99,90,110
99,90,110
99,90,110
99,90,110
100,91,111
100,91,111
100,91,111
100,91,111
100,91,111
100,91,111
101,92,112
100,91,111
100,91,111
101,92,112
101,92,112
101,92,112
101,92,112
101,92,112
100,91,111
101,92,112
102,93,113
102,93,113
103,94,114
103,94,114
103,94,114
103,94,114
104,95,115
102,93,113
100,91,111
101,92,112
102,93,113
104,95,115
103,94,114
103,94,114
102,94,111
102,94,111
102,94,111
102,94,111
102,94,111
103,95,112
103,95,112
104,96,113
105,94,114
105,94,114
104,93,113
103,92,112
104,93,113
104,93,113
105,94,114
106,95,115
106,95,115
105,94,114
104,93,113
103,92,112
103,92,112
104,93,113
105,94,114
106,95,115
106,95,115
106,95,115
105,94,114
105,94,114
104,93,113
103,92,112
103,92,112
104,93,113
105,94,114
105,94,114
105,94,114
104,93,113
105,93,113
105,93,113
105,93,113
105,93,113
103,92,112
103,92,112
103,92,112
103,92,112
103,92,112
104,93,113
104,93,113
104,93,113
105,94,114
105,94,114
106,95,115
106,95,115
106,95,115
105,94,114
106,95,115
106,95,115
106,96,113
106,96,113
105,95,112
105,95,112
104,94,111
105,95,112
107,97,114
108,98,115
108,98,115
107,97,114
106,96,113
106,96,113
106,96,113
105,95,112
104,94,111
105,95,112
105,94,114
105,94,114
106,95,115
107,96,116
107,96,116
106,95,115
106,95,115
106,95,115
105,94,114
105,94,114
104,93,113
104,93,113
104,93,113
104,93,113
105,94,114
105,94,114
106,95,115
105,94,114
104,93,113
103,92,112
103,92,112
103,92,112
104,93,113
104,93,113
105,94,114
105,94,114
105,94,114
107,96,116
107,95,115
106,94,114
106,94,114
107,95,115
104,93,113
105,94,114
105,94,114
106,95,115
106,95,115
106,95,115
104,95,115
104,95,115
103,94,114
104,95,115
104,95,115
104,95,115
103,94,114
103,94,114
104,95,115
104,95,115
101,95,114
101,95,114
103,94,114
103,94,114
103,94,114
103,94,114
105,94,114
105,94,114
105,94,114
105,94,114
105,94,114
105,94,114
