B,G,R
101,94,109
100,93,108
99,92,107
100,93,108
101,94,109
102,95,110
102,95,110
102,95,110
102,95,110
102,95,110
102,95,110
102,95,110
102,95,110
102,95,110
102,95,110
102,95,110
101,93,110
102,94,111
102,94,111
102,94,111
100,95,110
100,95,110
101,96,111
101,96,111
100,97,112
99,96,111
99,96,111
100,97,112
101,98,113
100,97,112
98,95,110
96,93,108
101,94,109
101,94,109
101,94,109
101,94,109
100,92,109
100,92,109
102,94,111
103,95,112
103,95,112
103,95,112
103,95,112
102,94,111
103,96,111
104,97,112
103,96,111
103,96,111
104,97,112
104,97,112
106,99,114
105,98,113
103,96,111
104,97,112
105,98,113
104,97,112
105,98,113
105,98,113
105,98,113
105,98,113
104,97,112
104,97,112
105,98,113
106,99,114
107,100,115
108,101,116
108,101,116
107,100,115
107,100,115
107,100,115
107,100,115
108,101,116
105,98,113
105,98,113
104,97,112
105,98,113
105,98,113
106,99,114
106,99,114
106,99,114
109,99,115
108,98,114
108,98,114
108,98,114
108,98,114
107,97,113
107,97,113
107,97,113
108,98,114
107,97,113
107,97,113
107,97,113
107,98,111
106,97,110
106,97,110
106,97,110
108,101,116
108,101,116
107,100,115
106,99,114
105,98,113
105,98,113
106,99,114
106,99,114
109,102,117
110,103,118
109,102,117
106,99,114
104,97,112
105,98,113
107,100,115
109,102,117
109,102,117
109,102,117
109,102,117
109,102,117
108,101,116
108,101,116
107,100,115
107,100,115
108,100,117
108,100,117
107,99,116
106,98,115
106,99,114
105,98,113
106,99,114
107,100,115
108,101,116
107,100,115
107,100,115
107,100,115
107,100,115
108,101,116
107,100,115
106,99,114
106,99,114
107,100,115
106,99,114
106,99,114
107,100,115
106,99,114
106,99,114
108,101,116
110,100,116
110,100,116
109,99,115
108,98,114
108,98,114
108,98,114
107,97,113
106,96,112
109,99,115
111,101,117
111,101,117
109,99,115
107,97,113
106,96,112
108,98,114
110,100,116
110,101,114
109,100,113
108,98,114
108,98,114
108,98,114
108,98,114
108,101,116
110,103,118
107,100,115
107,100,115
107,100,115
106,99,114
104,97,112
103,96,111
104,97,112
105,98,113
108,98,115
108,98,115
109,99,116
108,98,115
104,96,113
103,95,112
103,95,112
104,96,113
107,99,116
107,99,116
107,99,116
106,98,115
106,98,115
106,98,115
107,99,116
107,99,116
110,103,118
108,101,116
106,99,114
105,98,113
105,98,113
105,98,113
104,97,112
103,96,111
103,96,111
104,97,112
105,98,113
105,98,113
104,97,112
105,98,113
104,97,112
104,97,112
103,96,111
104,97,112
104,97,112
104,97,112
103,96,111
103,96,111
104,97,112
105,98,113
107,100,115
107,100,115
