B,G,R
102,101,117
101,100,116
101,100,116
100,99,115
101,100,116
101,100,116
102,101,117
103,102,118
102,101,117
102,101,117
102,101,117
102,101,117
102,101,117
102,101,117
104,101,117
105,102,118
102,101,117
102,101,117
102,101,117
102,101,117
102,101,117
103,102,118
103,102,118
104,103,119
104,103,119
103,102,118
102,101,117
102,101,117
102,101,117
102,101,117
103,102,118
103,102,118
103,102,118
103,102,118
103,102,118
102,101,117
101,100,116
101,100,116
101,100,116
102,101,117
101,100,116
101,100,116
101,100,116
102,101,117
102,101,117
103,102,118
103,102,118
103,102,118
101,101,117
101,101,117
102,102,118
102,102,118
102,102,118
102,102,118
103,103,119
103,103,119
103,103,119
103,103,119
103,103,119
102,102,118
102,102,118
103,103,119
103,103,119
103,103,119
103,103,119
103,103,119
103,103,119
103,103,119
103,103,119
103,103,119
103,103,119
102,102,118
102,102,118
102,102,118
102,102,118
102,102,118
102,102,118
102,102,118
101,101,117
101,101,117
102,101,117
102,101,117
102,101,117
103,102,118
104,103,119
104,103,119
103,102,118
103,102,118
102,101,117
102,101,117
102,101,117
103,102,118
103,102,118
104,103,119
104,103,119
105,104,120
105,104,120
105,104,120
104,103,119
105,104,120
106,105,121
105,104,120
105,104,120
105,104,120
105,104,120
105,104,120
106,105,121
106,105,121
106,105,121
106,105,121
105,104,120
105,104,120
104,103,119
105,104,120
105,104,120
106,105,121
105,104,120
105,104,120
105,104,120
105,104,120
106,105,121
106,105,121
106,105,121
106,105,121
105,105,119
104,104,118
104,104,118
103,103,117
104,103,119
104,103,119
104,103,119
104,103,119
104,103,119
104,103,119
104,103,119
104,103,119
104,103,119
104,103,119
103,102,118
103,102,118
103,102,118
103,102,118
104,103,119
105,104,120
106,105,121
105,104,120
105,104,120
105,104,120
105,104,120
105,104,120
104,103,119
103,102,118
104,103,119
104,103,119
104,103,119
105,104,120
105,104,120
105,104,120
104,103,119
103,102,118
107,104,120
106,103,119
104,103,119
103,102,118
102,102,118
103,103,119
103,103,119
102,102,118
103,103,119
102,102,118
102,102,118
102,102,118
103,102,118
