image_id,concentration,meanB,meanG,meanR,modeB,modeG,modeR
vòi-3.jpg,vòi,86.59677083333334,75.6865625,95.61666666666666,88,77,97
m-4.jpg,m,85.76552083333333,75.25739583333333,94.31739583333334,87,76,96
m-5.jpg,m,85.30177083333334,75.3578125,96.11802083333333,86,77,98
s-1.jpg,s,86.69510416666667,76.5171875,96.19802083333333,89,78,98
vòi-5.jpg,vòi,84.84260416666666,75.24697916666666,95.13697916666666,85,76,96
s-5.jpg,s,85.36572916666667,75.55197916666667,96.06354166666667,87,77,98
m-1.jpg,m,86.49697916666666,75.50572916666667,95.50447916666667,88,77,97
cất-1.jpg,cất,87.16010416666667,76.27260416666667,96.2746875,89,78,98
cất-4.jpg,cất,85.856875,76.590625,96.631875,86,77,97
cất-3.jpg,cất,87.75604166666666,77.1184375,97.20916666666666,89,78,98
s-4.jpg,s,85.108125,75.54947916666667,95.886875,87,77,98
pten-4.jpg,pten,85.13145833333333,75.4925,96.29979166666666,85,76,97
pten-2.jpg,pten,84.795625,75.99604166666667,96.810625,86,77,98
s-2.jpg,s,85.0896875,75.7915625,96.30604166666667,85,78,99
cất-5.jpg,cất,86.74645833333334,76.10989583333334,96.01125,88,77,97
vòi-2.jpg,vòi,87.34885416666667,76.86572916666667,96.3790625,88,77,97
m-2.jpg,m,85.86041666666667,75.44677083333333,94.74354166666667,87,76,96
pten-1.jpg,pten,85.82604166666667,76.18697916666666,97.411875,87,78,99
vòi-1.jpg,vòi,84.739375,75.47802083333333,96.18854166666667,85,76,97
vòi-4.jpg,vòi,86.23583333333333,76.7475,97.7315625,87,77,99
pten-3.jpg,pten,86.433125,75.94927083333333,95.87166666666667,87,77,97
s-3.jpg,s,85.184375,76.2359375,96.62458333333333,87,78,99
m-3.jpg,m,86.7534375,75.7409375,95.75260416666667,88,77,97
pten-5.jpg,pten,86.07270833333334,75.97041666666667,96.97979166666667,86,77,98
cất-2.jpg,cất,85.64645833333333,76.243125,96.67135416666666,86,77,98
