,image_id,meanB,meanG,meanR,modeB,modeG,modeR,image,concentration
0,25.0-5.jpg,86.62302083333333,82.4903125,101.01708333333333,87,82,103,25.0-5,5.16542
1,15.0-2.jpg,86.77052083333334,77.7671875,98.65052083333333,88,79,100,15.0-2,3.09925
2,15.0-5.jpg,88.15822916666667,79.7621875,97.54052083333333,90,81,99,15.0-5,3.09925
3,30.0-1.jpg,89.3884375,83.65197916666666,101.26885416666667,90,84,103,30.0-1,6.1985
4,20.0-4.jpg,86.32385416666666,79.50833333333334,96.46239583333333,87,81,98,20.0-4,4.13233
5,20.0-5.jpg,87.57104166666667,78.84229166666667,98.65270833333334,88,79,99,20.0-5,4.13233
6,30.0-3.jpg,89.52020833333333,84.5809375,102.20645833333333,91,85,102,30.0-3,6.1985
7,0.5-5.jpg,85.93833333333333,75.73510416666667,93.92322916666667,88,77,97,0.5-5,0.10331
8,2.0-5.jpg,85.1440625,76.36958333333334,96.44354166666666,86,77,98,2.0-5,0.41323
9,40.0-2.jpg,87.02364583333333,84.10114583333333,100.4578125,88,85,101,40.0-2,8.26467
