image,concentration,meanB,meanG,meanR,modeB,modeG,modeR,minB,minG,minR,maxB,maxG,maxR,stdB,stdG,stdR
batch1,2.5,1.0157958159047433,0.42129821437570064,1.060571924349039,1.2479839742560745,0.6442546080549231,1.9851105762652126,1.8332113898838822,0.8794680210217991,0.8601534746776308,1.1073680508304347,0.7237844983142421,0.9850197967553767,0.13023597370678933,0.09172246041976292,0.14041383785314543
batch1,2.0,0.8801866985079962,0.4634362710045019,0.9318038828495122,1.2904014879098684,0.8384843469021946,0.7363586082881086,0.5271963581057838,0.47397890248406466,1.3083669210126003,1.8794509836651727,2.0123260173242308,1.0616138657722958,0.07951350837437102,0.08169089751805454,0.13680704323982393
batch1,8.0,1.4504763586174532,0.7633614430772184,1.2412610849025454,1.4204985040470808,0.9285472524325297,1.3393222166454215,1.7729681328213407,0.5984981202978003,1.6594529218992649,2.832422284900329,2.2428107365535785,3.196151435711395,0.17764551900339304,0.1720719333416162,0.19095856441331333
batch1,20.0,0.9346001190306766,0.678630147904432,1.9549604207625648,2.3024995114005984,1.1629892518849867,2.4536796856965655,0.5290595429627922,0.6703312613924571,2.317702310479065,1.9893476317627334,2.5488318893171438,3.114055876184626,0.2642310679063964,0.1784613096298817,0.2923747338687075
batch1,10.0,0.9537823533887768,0.6832901401818694,1.8399251716707803,2.3539362778121267,0.9188993416038573,2.3365050823826565,1.1286345732787082,0.5929384453718628,2.0292008279123084,2.1153288160472847,1.1769350024534069,2.5182644817413413,0.1528594440861278,0.10597201108561591,0.17565426452784258
batch1,15.0,0.485945294156288,0.5370521425208526,0.5662589378602247,0.7757937870336419,0.6181779679024461,1.0938080270321686,0.5202460956124516,1.0002719630180597,0.9848939029154374,0.9609661804663052,0.9902242170336997,1.3883861134425097,0.20808601008725858,0.12218380702256101,0.16747915087906282
batch1,25.0,1.0147873188341223,0.5583497411972467,1.0099315758525302,1.8069532368049823,1.681986920282083,1.7422628963506068,1.0512278535122659,0.465918447799616,2.4362840556880916,1.2996461056764668,0.5874351027985991,1.3782162384763896,0.17821552147767736,0.14111115385926015,0.3082063410165198
batch1,0.0,1.3243229961198395,0.6776349215653155,0.7380882898056166,2.6847167448354763,1.82858852670578,1.7643287675487214,0.9602624641211385,0.7577176255043869,0.7751490179313882,1.1315935666130308,0.5088575439157821,0.7172558818162488,0.19174489585645724,0.1241270034317598,0.10270394881672261
batch1,40.0,1.3541376123714521,0.6760115723430765,0.6308129858112757,1.2701086567691762,1.7456758003707333,1.5457891188645354,1.2863809700084923,0.5077243346541513,0.747705824505866,2.1788932970661943,0.5077243346541513,1.063138749176228,0.4106010570735418,0.13077724767922302,0.16240511230449103
batch1,30.0,0.7844116999417066,1.1339895168237784,0.7152089551761484,2.122014137558936,2.2433688952109536,0.5373118275266262,0.8563550665465857,1.754965526726953,1.4639344247608925,0.8991907472833524,0.9147152562409817,0.8970529527291047,0.23968723426032082,0.14595526042238516,0.22985058329698932
