batch,concentration,meanB,meanG,meanR,modeB,modeG,modeR
batch3,2.0,0.9508422582111062,0.8147913843432566,1.277452543149842,0.8717797887081347,0.8306623862918076,1.8138357147217055
batch3,0.25,0.6777138039025031,0.6528828378813439,0.8676312580814498,0.7483314773547882,0.8717797887081348,1.1832159566199232
batch3,1.75,1.2247465043836623,0.9585426438088203,0.9051165670785173,1.8138357147217052,1.4866068747318506,1.1874342087037917
batch3,0.75,0.5907325960195527,0.7040092328939996,1.05064789534839,0.6708203932499369,1.0440306508910548,1.3
batch3,0.5,0.9130410724605995,1.0447411162579947,1.4807552127208607,1.2489995996796797,1.3416407864998738,2.1354156504062622
batch3,1.25,1.6266865094418161,1.1005730325607688,1.2379907107890586,1.5620499351813308,1.1874342087037917,1.9209372712298547
batch3,1.0,0.7428600137307181,0.5801732499865867,0.9204917164211737,0.8,0.6324555320336759,0.6
batch3,1.5,0.9144047243972453,0.6256196927846825,1.6380061049947272,1.019803902718557,0.806225774829855,2.0024984394500787
batch1,2.0,0.8232034985348381,0.7575328375720767,0.9862170146575256,0.8717797887081347,0.806225774829855,1.16619037896906
batch1,0.25,0.9740682727612063,0.689986231746696,1.3783646106890586,1.7,1.2489995996796797,1.7776388834631176
batch1,1.75,0.9646579704745092,0.607174604212003,1.1763082079115161,1.3453624047073711,1.02469507659596,1.445683229480096
batch1,0.75,1.2457608117130696,0.6668013197347451,1.315087829766513,1.6278820596099706,1.2649110640673518,1.3416407864998738
batch1,0.5,0.6989592262786137,0.8928695313426237,1.3988223618458488,1.0198039027185568,1.0440306508910548,1.469693845669907
batch1,1.25,1.2344978736312189,1.1299774334029873,1.2959324828091943,1.4177446878757827,1.6278820596099706,1.5132745950421556
batch1,1.0,1.0361954448847972,1.0139452647949057,1.5460882898463457,1.3564659966250536,0.9219544457292888,1.857417562100671
batch1,1.5,1.2710704150439485,1.0664876933185814,1.6565856452354042,1.4177446878757827,1.1357816691600546,1.9519221295943134
batch2,2.0,0.5893046750196371,0.7785216759988162,1.540804984415614,0.8944271909999159,1.1832159566199232,1.8027756377319946
batch2,0.25,1.4298167714780778,1.1243237967774262,2.3126521571563665,2.051828452868319,1.624807680927192,2.238302928559939
batch2,1.75,0.975356345137508,1.0750441851384538,1.3596028831978841,1.4177446878757827,1.32664991614216,1.6155494421403513
batch2,0.75,0.949684684513759,0.947327292966905,1.2509952038277365,1.1357816691600546,0.7745966692414834,1.32664991614216
batch2,0.5,1.0640582690811629,1.0364072558603605,1.4778024225179756,1.2649110640673518,1.1135528725660042,1.445683229480096
batch2,1.25,1.427138745882824,0.8636139183686168,1.1618902702062692,1.7204650534085253,1.374772708486752,1.268857754044952
batch2,1.0,0.7280824129176607,1.1127155970866953,1.700289387133848,1.1832159566199232,1.32664991614216,1.6733200530681511
batch2,1.5,1.0350362312499015,1.1633761214671738,1.4355333503614607,1.2206555615733703,1.32664991614216,1.676305461424021
