image,concentration,meanB,meanG,meanR,modeB,modeG,modeR,minB,minG,minR,maxB,maxG,maxR,stdB,stdG,stdR
batch3,2.0,1.1068074484334842,0.04925261683362621,0.10962776791598011,1.2806248474865698,0.0,0.0,0.66332495807108,0.0,0.0,1.1,0.0,0.3,0.09903454723091194,0.0681152449435273,0.07061089099502124
batch3,0.25,0.5188773499556142,1.0417874945522427,1.0404514888740175,0.66332495807108,1.2041594578792296,1.1874342087037917,1.1357816691600546,1.42828568570857,0.4000000000000001,1.02469507659596,1.6248076809271923,2.202271554554524,0.13186850697927566,0.18374521620648115,0.2380421364242821
batch3,1.75,1.2270074316543642,0.04575409181439404,0.08457383456932764,1.4000000000000001,0.0,0.0,0.7745966692414834,0.0,0.0,2.1095023109728985,1.4142135623730951,1.1135528725660044,0.13886499193781435,0.0630921061073821,0.06503688167814353
batch3,0.75,0.8284547799699401,0.8423667998715048,0.04112795132461621,1.4456832294800963,1.9209372712298547,0.0,1.1,0.48989794855663565,0.0,1.118033988749895,1.0954451150103321,1.8,0.1927288755854084,0.09730818613385528,0.031998372881823355
batch3,0.5,0.8305089634020822,0.7598492075011729,0.04846670500209397,1.676305461424021,0.7483314773547883,0.0,0.8717797887081347,1.0440306508910548,0.0,5.403702434442518,6.946221994724902,7.133722730804723,0.35830147513731037,0.2532977655413931,0.05839247390326765
batch3,1.25,1.6811114910309075,0.5466047427142944,0.07535725888857689,2.6095976701399777,0.8000000000000002,0.0,2.6095976701399777,0.0,0.0,2.280350850198276,2.3853720883753127,1.7776388834631176,0.15879514042501383,0.3405442709990454,0.0608669798899219
batch3,1.0,0.6867655900318832,0.5369809013429063,0.041111022210594574,1.2489995996796797,0.9797958971132713,0.0,1.0999999999999999,0.0,0.0,1.9390719429665317,1.676305461424021,1.6733200530681511,0.19697556000088012,0.1060869413936025,0.02654781401553446
batch3,1.5,0.8156251832879112,0.03466614795099104,0.044130874134102535,2.1540659228538015,0.0,0.0,1.1135528725660042,0.0,0.0,0.9,0.0,0.4,0.11298156425914903,0.0356250218240692,0.05753109116854026
batch1,2.0,0.8775352984411741,0.02879331140108758,0.0277290866953818,2.2,0.0,0.0,1.42828568570857,0.0,0.0,3.7483329627982624,4.237924020083418,3.0740852297878796,0.15925247209388163,0.03524696926207455,0.050458516737669955
batch1,0.25,1.2854124803865263,1.005209519769008,1.2691957740566269,1.8547236990991407,1.1874342087037917,1.3564659966250536,1.16619037896906,1.0198039027185568,0.48989794855663565,1.5652475842498528,1.3416407864998738,1.42828568570857,0.14974489018248688,0.09532731373043662,0.15443591231591677
batch1,1.75,1.1833539645751983,0.014524020247851488,0.1344840873049299,1.562049935181331,0.0,0.4000000000000001,1.3,0.0,0.0,1.374772708486752,0.0,0.0,0.06608922601078825,0.0314524118369614,0.04354250661063808
batch1,0.75,1.0248934273528338,0.6460382390247809,0.02853524188507958,1.3416407864998738,1.0954451150103321,0.0,1.2649110640673518,1.1832159566199232,0.0,1.8681541692269406,1.3453624047073711,2.6095976701399777,0.2869511805119053,0.15865334469051057,0.019665759447061303
batch1,0.5,1.5441127588090187,0.902815251897751,0.059722042971083966,2.4186773244895647,1.0,0.0,1.7,1.4177446878757827,0.0,1.4000000000000001,1.16619037896906,1.2,0.20937544552638904,0.28309949604612067,0.04017381755568439
batch1,1.25,1.2595615137711378,0.6818829238536481,0.12490459462101464,2.1540659228538015,1.4177446878757824,0.0,1.4,0.0,0.0,1.2206555615733703,2.08806130178211,1.5524174696260025,0.20211124824024815,0.3287407494572324,0.10748879297979758
batch1,1.0,1.841246555125521,1.1411741783033122,0.07340557966367407,1.8681541692269403,1.2688577540449522,0.0,1.9,1.8466185312619385,0.0,1.57797338380595,1.1874342087037917,0.5,0.3134393290429137,0.1305944311018299,0.06182013463264693
batch1,1.5,1.0836389065576404,0.05040154725244057,0.06663220114749324,1.4000000000000001,0.0,0.0,1.4,0.0,0.0,1.3,0.0,0.0,0.2912623902554715,0.07697604150398075,0.0698850417844813
batch2,2.0,0.6675915662518213,0.046024892715138405,0.014530767665887442,0.9797958971132712,0.0,0.0,0.9797958971132712,0.0,0.0,3.411744421846396,3.57211421989835,2.8635642126552705,0.18999175543831956,0.053930222279079565,0.06284517887939146
batch2,0.25,1.5296152076398823,1.376892751359,1.8118545041058456,1.2206555615733703,1.4966629547095767,1.9000000000000001,1.8027756377319946,1.5779733838059502,2.0591260281974,1.6613247725836149,1.7,1.6155494421403511,0.20078220659953655,0.12266093112576994,0.20573650386015996
batch2,1.75,0.7226452086534305,0.04416203012724845,0.047725133564611416,0.8944271909999159,0.0,0.0,0.4898979485566356,0.0,0.0,0.9433981132056604,0.6,0.3,0.17644546185028667,0.05483852076389799,0.05788074623088453
batch2,0.75,0.8091400610429822,0.9530279322247803,0.07979700211311198,1.1,1.2688577540449522,0.0,0.806225774829855,0.9433981132056605,0.0,0.7000000000000001,1.374772708486752,1.3453624047073711,0.23107722769820593,0.11167268531964875,0.05246798090430599
batch2,0.5,1.2528950912979109,1.2410124921182706,0.04349569662575828,1.2806248474865698,1.3,0.0,1.9723082923316018,1.8547236990991407,0.0,2.7,2.315167380558045,1.7776388834631176,0.1666438102564893,0.1462446812325377,0.0346008067861724
batch2,1.25,1.2753459568816596,0.30852015468529764,0.05179517817866833,1.562049935181331,0.6000000000000001,0.0,1.91049731745428,0.0,0.0,1.5999999999999999,0.9165151389911681,0.5,0.17228436260631916,0.1845995341162519,0.07636345114354388
batch2,1.0,1.208595613371884,1.0132474341888265,0.05313748965090467,1.5,1.1661903789690602,0.0,2.0615528128088303,0.0,0.0,3.2388269481403293,3.2264531609803355,2.0999999999999996,0.3479818952843721,0.2154428159919005,0.04670364337732912
batch2,1.5,1.248859916101657,0.27203895242968423,0.037232852074478524,1.7916472867168916,0.0,0.0,1.6248076809271923,0.0,0.0,2.181742422927143,1.5132745950421558,0.48989794855663565,0.10419159589211158,0.21309139932871893,0.05946414183015468
